, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
357.54,0,364.2108333,368.3490651,-0.041422022,0.026257866,-14.34,,368.0069231,357.6795432,-0.01070806,0.035170333,,3.87,3.87,0,2.428,0.994,2.442655936,70.95265926,,,,0,1,0,0,0,0,0
361.41,0,363.6591667,367.6275423,-0.031046409,0.026786111,-14.35,,367.1792308,361.6969582,0,0.035397956,,-4.42,0,4.42,2.428,0.993,2.445115811,70.97339959,,,,0,1,0,0,0,0,0
356.99,1,362.3716667,366.818946,-0.042896592,0.027429022,-11.03,,366.3938462,356.6279263,0,0.035724285,,-6.07,0,6.07,2.096,0.993,2.110775428,67.85367433,,,,0,1,0,0,0,1,1
350.92,1,360.6241667,365.8659031,-0.059170487,0.027733927,-5.51,,365.6084615,350.4809287,0,0.036093122,,-3.31,0,3.31,1.544,0.993,1.554884189,60.85928262,,,,0,1,0,0,0,1,1
347.61,1,358.6466667,364.7552513,-0.06804472,0.02765719,2.76,,364.8442308,347.3891593,-0.022496555,0.036307605,,0,0,0,1.213,1.489,0.814640698,44.89267209,,,,0,1,0,0,1,1,1
347.61,1,357.1291667,363.5820075,-0.06804472,0.027309285,8,,363.8253846,347.6269877,-0.029293493,0.03642938,,-6.07,0,6.07,1.213,2.013,0.602583209,37.60074396,,,,0,1,0,0,1,1,1
341.54,1,355.29,362.306314,-0.084318614,0.026683725,16.56,,362.6792308,341.0717702,-0.050618485,0.036823415,,3.31,3.31,0,0.606,2.262,0.267904509,21.12970711,,,,0,1,0,0,1,1,1
344.85,1,353.5425,360.958035,-0.075444382,0.025127721,14.9,,361.5542308,345.1406331,-0.050156999,0.036944202,,2.76,2.76,0,0.606,2.096,0.289122137,22.42783124,,,,0,1,0,0,1,1,1
347.61,1,352.4391667,359.6474398,-0.06804472,0.023960979,15.45,,360.7688462,347.7999513,-0.04400319,0.037112157,,-1.1,0,1.1,0.606,2.151,0.281729428,21.98041349,,,,0,1,0,0,1,1,1
346.51,1,351.3816667,358.3757824,-0.07099386,0.022932399,17.1,,359.8988462,346.410773,-0.054207495,0.037381914,,-3.31,0,3.31,0.496,2.206,0.224841342,18.35677276,,,,0,1,0,0,1,1,1
343.2,1,350.14,357.108739,-0.079868093,0.021655202,23.17,,358.9865385,342.9530175,-0.079868093,0.037807958,,3.86,3.86,0,0.165,2.482,0.066478646,6.233471855,,,,0,1,0,0,1,1,1
347.06,1,349.4041667,355.9234202,-0.06951929,0.019438664,25.93,,358.1165385,347.3759217,-0.06951929,0.037974281,,-1.1,0,1.1,0.165,2.758,0.059825961,5.644885392,,,,0,1,1,0,1,1,1
345.96,1,348.4391667,354.7719965,-0.072468431,0.017935304,20.96,,357.2465385,345.8510829,-0.072468431,0.038236574,,-0.55,0,0.55,0.662,2.758,0.240029007,19.35672515,,,,0,1,0,0,1,1,1
345.41,1,347.1058333,353.5925868,-0.073943001,0.015937301,20.41,,356.3553846,345.3760705,-0.073943001,0.0380585,,4.96,4.96,0,0.717,2.758,0.259970993,20.63309353,,,,0,1,1,0,1,1,1
350.37,1,346.5541667,352.509753,-0.060645058,0.013376399,16.55,,355.6761538,350.7541484,-0.060645058,0.03765289,,5.24,5.24,0,0.717,2.372,0.30227656,23.21139527,,,,0,1,0,0,1,1,1
355.61,1,346.945,351.6536371,-0.046596423,0.011890486,10.76,,355.1984615,355.983527,-0.046596423,0.037526897,,2.49,2.49,0,0.772,1.848,0.417748918,29.46564885,,,,0,0,1,0,1,1,1
358.1,1,347.8191667,351.0637186,-0.039920641,0.011391261,8.82,,354.6469231,358.2628056,-0.039920641,0.03743263,,1.65,1.65,0,0.772,1.654,0.466747279,31.8219291,,,,0,0,1,0,1,1,1
359.75,1,348.8308333,350.7201978,-0.03549693,0.011545321,7.17,,354.18,359.8643996,-0.03549693,0.037328032,,3.31,3.31,0,0.772,1.489,0.518468771,34.14418399,,,,0,0,1,0,1,1,1
363.06,1,350.6241667,350.7054238,-0.026622698,0.01222947,1.66,,353.8615385,363.3058154,-0.026622698,0.037330586,,0.55,0.55,0,0.992,1.158,0.856649396,46.13953488,,,,0,0,0,0,1,1,1
363.61,1,352.1875,350.9334355,-0.025148127,0.01543982,3.31,,353.7765385,363.6333988,-0.025148127,0.0374474,,2.76,2.76,0,0.992,1.323,0.749811036,42.85097192,,,,0,0,1,0,1,1,1
366.37,0,353.7508333,351.3668813,-0.017748465,0.017639044,2.76,,353.8826923,366.5805078,-0.017748465,0.037679737,,6.62,6.62,0,0.992,1.268,0.782334385,43.89380531,,,,0,0,1,0,1,1,0
372.99,0,355.9575,352.0731303,0,0.020684064,-7.72,,354.1584615,373.4830379,0,0.038339566,,-6.07,0,6.07,1.378,0.606,2.273927393,69.45564516,,,,1,0,0,0,0,1,0
366.92,0,357.9341667,352.9748282,-0.005987051,0.022064781,-3.31,,354.3919231,366.4151509,-0.005987051,0.03915646,,-1.1,0,1.1,0.937,0.606,1.54620462,60.72585872,,,,1,0,0,0,0,1,0
365.82,0,359.4975,353.9783162,-0.008967031,0.024224736,-0.55,,354.6465385,365.7742192,-0.008967031,0.03978456,,1.1,1.1,0,0.827,0.772,1.071243523,51.71982489,,,,1,0,0,0,0,1,0
366.92,0,361.2441667,355.0961393,-0.005987051,0.025931671,-5.51,,354.9857692,367.008137,-0.005987051,0.039991694,,-0.55,0,0.55,1.213,0.662,1.832326284,64.69333333,,,,1,0,0,0,0,1,0
366.37,0,362.9908333,356.3107077,-0.007477041,0.027211462,-1.1,,355.3888462,366.3209125,-0.007477041,0.040251591,,0.55,0.55,0,1.158,1.048,1.104961832,52.49320036,,,,1,0,0,0,0,1,0
366.92,0,364.37,357.5505988,-0.005987051,0.027537482,-1.1,,355.7496154,366.9660837,-0.005987051,0.04038259,,0,0,0,1.158,1.048,1.104961832,52.49320036,,,,1,0,0,0,0,1,0
366.92,0,365.3125,358.7447374,-0.005987051,0.027194788,-6.07,,355.9615385,366.9164551,-0.005987051,0.040525333,,-2.2,0,2.2,1.655,1.048,1.579198473,61.22826489,,,,1,0,0,0,0,1,0
364.72,0,365.8641667,359.8400342,-0.011947011,0.026581569,-6.62,,356.2588462,364.5510419,-0.011947011,0.040791507,,2.2,2.2,0,1.71,1.048,1.631679389,62.00145033,,,,1,0,0,0,0,1,0
366.92,0,366.4616667,360.8587469,-0.005987051,0.026138359,-8.27,,356.8742308,367.1022275,-0.005987051,0.040966023,,2.21,2.21,0,1.71,0.883,1.936579841,65.94677979,,,,1,0,0,0,0,1,0
369.13,0,366.9675,361.7985551,0,0.025364698,-11.59,,357.7019231,369.2859825,0,0.041095931,,-3.86,0,3.86,1.821,0.662,2.750755287,73.33870318,,,,1,0,0,0,0,0,0
365.27,0,367.1058333,362.6150594,-0.001503472,0.024180025,-7.73,,358.3811538,364.9610783,-0.001503472,0.041198704,,-1.66,0,1.66,1.435,0.662,2.167673716,68.43109204,,,,1,0,0,0,0,1,0
363.61,0,366.8758333,363.2705631,-0.006041222,0.023449298,-6.07,,359.23,363.5060709,-0.006041222,0.04129451,,1.66,1.66,0,1.269,0.662,1.916918429,65.71724495,,,,1,0,1,0,0,1,0
365.27,0,366.2325,363.7262457,-0.001503472,0.02290111,-7.17,,360.0153846,365.4056869,-0.001503472,0.041477241,,-3.86,0,3.86,1.269,0.552,2.298913043,69.68698517,,,,1,0,0,0,0,1,0
361.41,0,365.7733333,364.0411823,-0.012055109,0.023349339,-2.21,,360.5461538,361.1026395,-0.012055109,0.04147977,,3.86,3.86,0,0.883,0.662,1.333836858,57.15210356,,,,1,1,1,0,0,1,0
365.27,0,365.7275,364.3006158,-0.001503472,0.024226314,-8.28,,361.2676923,365.5905662,-0.001503472,0.041355486,,0.55,0.55,0,1.104,0.276,4,80,,,,1,0,0,0,0,0,0
365.82,0,365.6358333,364.5060339,0,0.024638661,-11.03,,362.1376923,365.8376488,0,0.041442748,,-4.97,0,4.97,1.324,0.221,5.990950226,85.69579288,,,,1,0,0,0,0,0,0
360.85,0,365.1758333,364.6090799,0,0.026486539,-16,,362.6680769,360.4663347,0,0.041442748,,-2.75,0,2.75,1.821,0.221,8.239819005,89.17727718,,,,1,1,0,0,0,0,0
358.1,0,364.4408333,364.5831958,-0.003062361,0.027957386,-12.14,,363.135,357.9179743,-0.003062361,0.041326513,,0.55,0.55,0,1.546,0.332,4.656626506,82.32161874,,,,1,1,0,0,0,0,0
